,HHID,Nonfood Consumption Total (annual) (nominal),Nonfood Consumption Total (annual) (real)
0,7d78f2c5da59436d9bde9b09ea8a8aaf,74934.84058406357,733.6527747727978
1,7144cc6d29b3485d9e6d6188b255c756,136325.10673882198,1334.6968119313633
2,9936d103bf974a93afbc63d477b8b3f2,30947.45094081921,302.99234745694065
3,cc8f211413cd493e83e01a96aba95bbb,332196.64662526967,3252.3855347825893
4,e50cfa8d11b44d56891e0fad015b07c7,86269.53707658441,844.62560754498
5,4c60971913ca49b4beb6def01a0b133f,50931.818651171736,498.6501577425626
6,2fcb31f5f05349fca327dd2fa965b43a,115694.0072155287,1132.7071460576115
7,e676d3715e4340b4a4185fca13f23fba,183615.93877752172,1797.6997338843994
8,fd4b0adb712045789c7725af9d50301d,202718.54940024437,1984.7246635370198
9,cc43ef9ad8aa45c28c6b1ec1daf1effc,41777.40352046459,409.02346327417257
10,09aa9c15d78e449ea768d2b546d7630f,25950.657564336638,254.0710273200108
11,588862e09b294c19806cb1cea206b93f,71775.02710516805,702.7164852112611
12,18895b09d1aa4f2fb29731eff2be86f6,235785.54922971257,2308.4685454111113
13,9d7546eefc334970b492a20ce6887403,34322.721171131,336.0380755958872
14,0e43e65824744e4e9d3399f674d95538,203710.3795975137,1994.4352196769742
15,f5624915b2ea42698c93f09e51d55660,121366.20443163629,1188.2410364912275
16,5845d8877c264a639aada480e64df344,73252.70230311791,686.4511769320789
17,a32b7bf3a92240689cd1a5d1f522a140,46969.93790452409,440.15535456382554
18,2d61398388e54acd9a37b9e331fa9ccd,40540.236037904986,379.9026092739742
19,273878d185624e4aa08fbf10c88efa82,200424.7884388831,1878.1809760536055
20,6237f49f5a174df7884c1693808cbea3,94447.95393138364,885.0719099309663
21,018388a980ac4a1e95269d79f85b0e7c,152470.30282691648,1428.7994235302417
22,ce16a1e2640047e3bf515d4bfc7b06f5,162735.02527468916,1524.9901521124796
23,a81c6b7867e148acab7667039d5256ad,82514.18222182586,773.2405183549042
24,158e0fe582ac4aac9a7e3c8bca5e5ddf,99166.6592352353,929.2909040101341
25,7dd94ab98be94ef7b026402b624547ed,45772.74370010184,428.93644598020404
26,9af4fb6a33d04d21abecfcaec6e16811,138614.36691245149,1298.9554284702108
27,dedcd194d3d246c5b8ad29d075ae706a,247687.59396849383,2321.0807935465136
28,f4e49be9017546418526a3acf75c29ca,35983.29883584672,337.19954430560745
29,8aa0db7b72c1478e880596ec8d69bacb,34278.0880726309,321.2200118307089
30,c75267b00dec46509e1ccb468e14aea4,60125.80623207655,563.4390152763323
31,287c0fcc56f44311a68f29ba8121ba2a,60069.73224943951,562.9135459056981
32,3a3c53640cfd40719087b41f35b71019,440362.7531184633,4508.631956875844
33,e3c81d2d54b14241b9e10e95f84da6a0,270298.0246473199,2767.4327657713634
34,14364fd838a74f2d9166bc0715e4b96d,1272676.9746095368,13030.239360323509
35,d28d50b33ee84f82a26e265fa2a743cf,98935.61079325444,1012.9472879726059
36,4aaf6a797ab04e7c88ab86dc1ad153ae,142387.27566855506,1457.824979032772
37,ad98c2cdf217477f9abc57c60632f677,91650.51347279393,938.3591845161292
38,6f7d332cc9df4fd9896e1ba8c9688848,74079.41814239249,758.4584064349998
39,cdc58bdec76b49b1945457b654d293dc,355663.76958182163,3641.4456628854573
40,2d8108cd7f2646d99de1cf860182d6ab,48534.2236188098,496.91521378752486
41,07a1ce1defcd4f21af47a3805d722165,109883.89483664148,1125.0407449269221
42,70bcaaf9541f4e3a9c10a2fe53283260,134837.61493295283,1380.5281563222688
43,8f9f50600e604b7197cf0da40e63657c,185001.48933706936,1894.1284679232438
44,d5b99d1324ef4ebaa234c07ee52e8cba,1095950.2750411858,11220.831912340014
45,ec0f6602b8fc4f53aa33b3e00aa235e5,7172597.126382832,73436.27586301781
46,67bfde3922d6419e9c103caef4e8c418,160468.0870087628,1642.9444589102493
47,085341e9d8014d7d8bb1b566a646bf57,143128.47841834108,1465.4137462038016
48,cf9c2bfc06304fa79c8f46abb78c4cee,112547.49153990208,1051.4840421657839
49,65816a6fa1ab4fac876e795bcef13671,163404.24248682288,1526.6173510065948
50,dc51f83e4ce7480499f9434c8ecbb106,64204.92258013038,599.8396818783104
51,65627b32b1624e04b6ea581400f5c9d6,84166.6592352353,786.3338210152731
52,063cd4cc407f4c6094dde496d3206213,57370.6675146321,535.990101197835
53,b11618e4e0f64cf2aececcf3035ccb64,427915.31133003853,3997.8334044203634
54,43a227794ed84f7c9caed20739e7532c,210834.4174618298,1969.737596700114
55,09d4515509cc4692badf3541dd10ed40,36475.950323619276,340.779515947894
56,45cb275b257944af892c562162b9cba9,42438.63272614628,396.48635853475935
57,18383631de9947df8ba58a686c4bd394,150123.63703637646,1402.5422204960805
58,7d46f6450d174853a7834d4e9c2b4504,74075.07662196856,692.0523942783152
59,1e677a9563644c1eb012e0c7df9b6410,148481.48986900342,1387.2003277736796
60,acf53d84d6d54aacbafc6476b583f480,57704.65536150393,539.110409669024
61,be90dc04442f43f9b7bf199a362813b1,88752.22942940686,829.1748814194758
62,85990b04acfc4a94b4b8e6d7e27c499e,102218.55073007946,954.9850772807877
