,rexp_cat092,annual_use_value
9341,0.0,264.20532448465593
2833,0.0,263.7080468956372
8106,0.0,260.93722390935415
9005,0.0,260.84821702571656
114,0.0,260.26773734981924
4456,0.0,260.15938114365173
6325,0.0,260.0084564279185
7906,0.0,259.30027122332376
2095,0.0,257.0518799453482
247,0.0,256.2721022473928
3799,0.0,255.06276958927344
9059,0.0,252.53685374244037
7608,0.0,250.2931615856507
1578,0.0,249.8094285224029
6372,0.0,249.19605499820477
4502,3526.903,247.94995862727856
9551,0.0,245.43454669839022
7614,0.0,244.70314230675964
6133,0.0,244.13433041783153
7792,0.0,243.7638709073792
4530,0.0,239.2292189630481
5024,0.0,237.13368733305887
565,0.0,234.12680261191085
2127,0.0,228.82508823871552
1073,2204.3145,224.56243248537635
5001,0.0,224.24316866363284
5434,0.0,223.6897780392774
4281,0.0,221.70453754770864
7007,0.0,220.93443451101822
5682,0.0,220.30751646104912
3962,0.0,219.44453667621517
8158,0.0,217.35287491073188
5188,1831.3253,217.3064365366601
6037,5686.6333,215.50501460912548
4855,0.0,211.75124603832296
955,0.0,207.08612437636165
7232,0.0,204.32691098359646
5745,0.0,204.29401713529563
9073,1834.1783,203.783195020506
4088,0.0,203.4349072149676
1239,0.0,202.65319458475926
8629,0.0,198.39247376367308
1849,0.0,198.1525421643022
1527,0.0,197.75007625568009
2476,0.0,193.78678216376795
992,0.0,193.64801987933916
7369,5262.2827,189.76708313816775
868,0.0,189.62336079311788
7535,0.0,186.70935282011345
5970,0.0,186.32817116627422
7903,4738.8613,185.1616834366139
926,1763.4515,185.06853026957708
4457,5281.043,184.14750251715336
4820,0.0,183.17036172939294
320,0.0,182.34801552187173
1511,0.0,181.91846056170772
6500,0.0,178.85739773747596
5552,0.0,178.76839085383835
8626,0.0,178.42784277731195
287,0.0,178.1588871941462
1022,0.0,176.23031257570074
28,0.0,175.8118143712681
3773,0.0,174.54598169136142
9157,0.0,174.120683582154
411,0.0,173.36219013898153
5414,0.0,170.2314697536421
3852,0.0,169.71594851766662
9781,0.0,169.3452707817722
5626,0.0,168.5113149807331
1615,0.0,168.00242779819646
2201,0.0,167.90125848325434
1831,0.0,166.9614342460873
5211,0.0,165.01876226408433
6584,814.8006,164.1867413952982
3431,0.0,163.96615911845723
3824,0.0,161.83773364016713
4249,0.0,161.81838431763725
145,0.0,161.25338409976388
2791,0.0,160.38377026149104
526,0.0,160.35170566987006
6342,0.0,159.8215342325505
3381,0.0,155.25896397999776
7534,0.0,155.12738858679438
3538,0.0,154.46564175627142
2967,4571.24,153.45560712021012
7113,0.0,151.4897159511713
5084,0.0,150.4686245593786
9599,0.0,148.4093038044096
1186,0.0,148.00296803128148
4547,0.0,147.3937407904826
2933,0.0,147.36831025230043
898,12823.891,147.037436837039
9002,0.0,146.95810461466635
1012,0.0,145.27029085227164
8794,0.0,144.77163116878654
1325,0.0,144.65553523360705
5891,0.0,144.5394392984276
8552,0.0,144.33627141186355
9710,0.0,139.6440606983604
7108,0.0,138.94361522277765
4882,0.0,138.55690519107273
7039,0.0,137.82909424505482
1611,0.0,135.99090860471338
7268,0.0,135.36786041925026
8181,0.0,134.56292860200602
3592,0.0,134.2030312029497
9528,0.0,133.7947604975686
4769,0.0,128.63319050326845
30,0.0,127.35724089186753
1579,0.0,125.83638414101661
1870,0.0,125.37808161595105
5575,0.0,125.19011676851764
1144,0.0,124.97340435618261
3672,0.0,124.77991113088353
6121,0.0,121.97619429629957
8614,0.0,121.5834030489424
4408,0.0,121.29238923809255
2932,0.0,121.07064600189979
808,0.0,120.96809459249125
2216,0.0,120.7900808252161
1456,0.0,120.72429312861439
222,0.0,118.86675816574304
5194,0.0,118.55716900526447
2108,0.0,118.31447321696075
9779,0.0,117.76384678153818
1894,0.0,117.21045615718275
9835,0.0,116.2313804371693
9943,0.0,116.13795085123915
8127,0.0,114.72434463098259
4483,0.0,114.42415371287572
5849,0.0,114.33127696473214
9504,0.0,114.2770988616484
9453,0.0,113.27093409009306
5114,0.0,111.10380996674314
5614,0.0,110.16896126965521
8486,0.0,110.13634384024765
7611,4063.4402,109.99315885352631
6269,11885.225,108.0814457875712
970,0.0,107.64415109839524
7105,0.0,107.55514421475765
2889,0.0,106.44642803379381
508,0.0,106.42956648130347
4266,0.0,105.32997212381802
4707,0.0,105.22935564666248
99,0.0,104.57728347740452
6557,0.0,103.8729681373158
7074,0.0,103.21315623904586
6650,0.0,103.10866989738435
8725,0.0,103.02740274275872
5857,1322.5886,102.96931607652392
1598,0.0,101.49687133064285
5989,0.0,101.31305276660869
6920,0.0,101.2898335795728
6164,0.0,101.06151157371987
4317,0.0,100.88736767095068
5321,0.0,99.30459308800405
8094,0.0,99.22332593337842
464,0.0,99.2039766108485
7059,0.0,98.28046108838522
7692,0.0,98.16574724767219
4529,0.0,97.45286292189165
5003,0.0,97.4431882606267
6481,0.0,97.15294842267805
8512,0.0,96.78531129460976
1989,0.0,95.58178343324936
1247,0.0,94.44680745742349
9201,0.0,94.39760489441886
2965,0.0,93.82486494753353
4334,0.0,93.28501884894904
6570,0.0,91.10822006433418
8107,0.0,90.7986309038556
8383,0.0,90.21041149894636
3583,0.0,89.70732911316868
